time: 0
16 1 1
16 2 1
16 3 1
16 4 1
17 1 1
17 2 1
17 3 1
17 4 1
18 1 1
18 2 1
18 3 1
18 4 1
19 1 1
19 2 1
19 3 1
19 4 1
20 1 1
20 2 1
20 3 1
20 4 1
21 1 1
21 2 1
21 3 1
21 4 1
22 1 1
22 2 1
22 3 1
22 4 1
23 1 1
23 2 1
23 3 1
23 4 1
24 1 1
24 2 1
24 3 1
24 4 1
25 1 1
25 2 1
25 3 1
25 4 1
26 1 1
26 2 1
26 3 1
26 4 1
27 1 1
27 2 1
27 3 1
27 4 1
28 1 1
28 2 1
28 3 1
28 4 1
29 1 1
29 2 1
29 3 1
29 4 1
30 1 1
30 2 1
30 3 1
30 4 1
31 1 1
31 2 1
31 3 1
31 4 1
32 1 1
32 2 1
32 3 1
32 4 1
33 1 1
33 2 1
33 3 1
33 4 1
34 1 1
34 2 1
34 3 1
34 4 1
35 1 1
35 2 1
35 3 1
35 4 1
